role,shock,disc_public_cost_gbp_m,crit_domestic_share,crit_recycled_share,crit_only_recycled_share,crit_only_domestic_share,crit_import_share,single_country_exposure,top3_exposure,refining_exposure,export_control_exposure,supply_risk_index,mean_supply_gap,cum_disc_gva_gbp_m
market_light_touch,0_stable,0.0,0.011,0.147,0.139,0.004,0.843,0.85,0.898,0.472,0.02,0.3,0.0,788.3
market_light_touch,trade_friction,0.0,0.011,0.146,0.137,0.004,0.811,0.548,0.702,0.449,0.013,0.283,0.016,783.5
market_light_touch,export_ban,0.0,0.011,0.135,0.12,0.004,0.65,0.246,0.504,0.355,0.006,0.223,0.129,771.5
market_light_touch,bloc_fragmentation,0.0,0.011,0.115,0.095,0.004,0.477,0.166,0.333,0.256,0.0,0.16,0.298,754.8
diversify_and_insure,0_stable,121.8,0.011,0.147,0.139,0.004,0.843,0.543,0.754,0.472,0.02,0.192,0.0,788.5
diversify_and_insure,trade_friction,121.8,0.011,0.146,0.137,0.004,0.811,0.351,0.59,0.449,0.013,0.181,0.016,783.7
diversify_and_insure,export_ban,121.8,0.011,0.135,0.12,0.004,0.65,0.158,0.423,0.355,0.006,0.143,0.127,772.3
diversify_and_insure,bloc_fragmentation,121.8,0.011,0.115,0.095,0.004,0.477,0.106,0.279,0.256,0.0,0.102,0.289,757.0
domestic_autonomy,0_stable,121.1,0.076,0.147,0.139,0.004,0.777,0.85,0.898,0.442,0.02,0.28,0.0,1006.4
domestic_autonomy,trade_friction,121.1,0.076,0.146,0.137,0.004,0.745,0.548,0.702,0.419,0.013,0.263,0.016,1001.6
domestic_autonomy,export_ban,121.1,0.076,0.135,0.12,0.004,0.634,0.246,0.504,0.348,0.006,0.218,0.105,989.6
domestic_autonomy,bloc_fragmentation,121.1,0.076,0.121,0.095,0.004,0.477,0.166,0.333,0.256,0.0,0.16,0.243,973.7
circular_leader,0_stable,354.1,0.011,0.21,0.203,0.004,0.779,0.831,0.879,0.437,0.019,0.278,0.0,1034.4
circular_leader,trade_friction,354.1,0.011,0.209,0.201,0.004,0.754,0.548,0.702,0.418,0.013,0.264,0.013,1025.5
circular_leader,export_ban,354.1,0.011,0.204,0.192,0.004,0.65,0.246,0.504,0.355,0.006,0.223,0.069,1008.5
circular_leader,bloc_fragmentation,354.1,0.011,0.182,0.155,0.004,0.477,0.166,0.333,0.256,0.0,0.16,0.214,986.2
strategic_coordinator,0_stable,515.9,0.076,0.206,0.199,0.004,0.718,0.607,0.774,0.41,0.019,0.19,0.0,1235.6
strategic_coordinator,trade_friction,515.9,0.076,0.205,0.197,0.004,0.692,0.4,0.618,0.391,0.013,0.179,0.013,1227.1
strategic_coordinator,export_ban,515.9,0.076,0.199,0.188,0.004,0.61,0.18,0.444,0.337,0.006,0.154,0.063,1210.7
strategic_coordinator,bloc_fragmentation,515.9,0.076,0.178,0.151,0.004,0.477,0.121,0.293,0.256,0.0,0.117,0.174,1189.7
